clasificacion,,texto,
Verdadero,Distintas fuentes de,"Distintas fuentes destacan la caída en la producción industrial entre 2015, 2016 y 2017, pero ésta crisis no es la más extensa desde 2001 y, según los datos que se analicen, habría comenzado antes de la asunción de Cambiemos.",
Falso,¿La Argentina tiene ,¿La Argentina tiene uno de los calendarios de vacunación obligatorios y gratuitos más completos del mundo?,
Falso,El país cubre mayor ,El país cubre mayor cantidad de enfermedades que en otros lugares del mundo. Los especialistas destacan la gratuidad y obligatoriedad para lograr más cobertura y así proteger a distintos sectores de la sociedad.,
Verdadero,La precariedad labor,"La precariedad laboral es mucho mayor entre las mujeres que los hombres, aunque no llega al nivel señalado por la candidata del Frente de Izquierda y de los Trabajadores.",
Falso,La medición oficial ,"La medición oficial de pobreza fue discontinuada en 2013, pero todos los especialistas concuerdan en que la cantidad de pobres, utilizando diversas fuentes, era mayor a la dicha por el ex secretario de Comercio al final del segundo mandato de Cristina Fernández de Kirchner.",
Falso,Los jubilados que en,"Los jubilados que entraron al programa oficial son casi un millón, aunque 625 mil aceptaron la oferta estatal y el resto tuvo un aumento automático. Igualmente, la meta del Gobierno es alcanzar 2,3 millones de beneficiarios en dos años y todavía no se cumplieron los primeros 12 meses del programa.",
Falso,El mínimo docente er,"El mínimo docente era mayor al piso salarial de los empleados formales cuando Mauricio Macri asumió la Presidencia. Entre 2008 y 2015 el salario de los maestros estuvo en el mismo nivel o por encima del SMVM, aunque a partir de 2016 el mínimo docente se actualiza 20% por encima del salario básico.",
Falso,El sitio publicó la ,"El sitio publicó la conclusión de un informe que omite que la definición de quién es pobre varía enormemente de país a país, ya que cada instituto nacional de estadísticas lo define de un modo diferente. Si se utiliza una metodología adecuada, la Argentina está entre los mejores de la región, junto con Uruguay, Chile y Costa Rica.",
Falso,Los datos oficiales ,"Los datos oficiales muestran que durante el primer año de Mauricio Macri aumentó el indicador que mide el estado de las cuentas públicas. Así, si bien la tendencia a la suba se inició durante la segunda gestión de Cristina Fernández Kirchner, el déficit fiscal se ubicó en su nivel más alto desde 2004.",
Verdadero,"El 9,2% de desempleo","El 9,2% de desempleo informado por el INDEC es el más alto desde su intervención en 2006, pero actualmente tanto el instituto oficial como diversos organismos y especialistas descalifican los datos publicados entre 2007 y 2015, que el diario toma como válidos.",
Falso,Entre bajas y suspen,"Entre bajas y suspensiones, se redujeron 70 mil beneficios por invalidez. El Gobierno señala irregularidades por el notable aumento de pensiones en la última década; en algunos casos se cancelaron beneficios sin contacto previo con el titular.",
Verdadero,Los datos oficiales ,"Los datos oficiales muestran que los siniestros bajaron en los carriles exclusivos de 9 de Julio y en el corredor Sur. Si bien no hay datos alternativos, especialistas y estudios destacan que otros sistemas similares también bajaron los accidentes en otras ciudades de Latinoamérica.",
Verdadero,Los datos oficiales ,"Los datos oficiales del INDEC muestran que en los últimos tres trimestres el Estimador Mensual de la Actividad Económica (EMAE) -indicador que mide la variación provisoria del PBI- mejoró. La recuperación fue empujada, sobre todo, por la construcción y el campo.",
Verdadero,Los datos muestran q,"Los datos muestran que durante el primer año de Mauricio Macri aumentó el déficit fiscal y la deuda total, pero se trata de dos indicadores que venían aumentando desde 2011, primer año del segundo mandato de Cristina Fernández de Kirchner.",
Verdadero,Los datos confirman ,"Los datos confirman los dichos de la diputada. Si bien las cifras nacionales de 2016 no son comparables con las de 2015, las estadísticas de la CABA -que no tienen problemas metodológicos y no fueron cuestionadas- muestran que la desigualdad aumentó en el primer año de Mauricio Macri.",
Verdadero,La cantidad de usuar,"La cantidad de usuarios afectados por fallas de baja tensión se redujo un 42% con respecto al verano anterior. Además, la duración de los cortes disminuyó un 9 por ciento.",
Verdadero,Según una estimación,"Según una estimación oficial de ANSES realizada en 2015, en dicho año la cobertura previsional habría alcanzado el 97%, mientras que en 2003 ese porcentaje era del 66 por ciento. Según los especialistas, esta suba se dio principalmente gracias a las moratorias de 2004 y 2014.",
Verdadero,El balance de 2016 d,"El balance de 2016 de la empresa estatal dio pérdidas por primera vez desde 1989, aunque se debe a un mecanismo contable que no representa una pérdida real. Si se mira el margen entre ventas y costos, la empresa sigue dando resultados positivos.",
Falso,Según los datos del ,"Según los datos del INDEC y de la Ciudad, el precio del pan francés creció 28% y 37% en el último año, respectivamente, lejos del 100% marcado por el líder del Frente Renovador. En los últimos meses, sin embargo, el producto sí creció por encima de la inflación general.",
Falso,De acuerdo con los ú,"De acuerdo con los últimos datos oficiales, el sector metalúrgico redujo la cantidad de trabajadores que empleaba. La caída del consumo y de la producción y la apertura de las importaciones, entre las principales razones.",
Verdadero,El Gobierno de la Pr,"El Gobierno de la Provincia Buenos Aires logró que se detuviera a 400 uniformados acusados de enriquecimiento ilícito, lavado de activos, narcotráfico y corrupción policial. Además, apartó de la fuerza a más de 4.700 efectivos, el número más alto comparado con el período 2004-2014.",
Verdadero,Contrariamente a lo ,"Contrariamente a lo dicho por el diputado de la UCR, según datos oficiales del último Censo nacional de 2010 el 98% de los habitantes de Santa Cruz tiene acceso al agua de red. Es la segunda provincia con más cobertura y se ubica por encima del promedio nacional (83%).",
Falso,La Argentina es el t,"La Argentina es el tercer país del mundo que menos exporta e importa como porcentaje de su PBI, detrás de Sudán y Nigeria. Según este indicador, en 2015 fue la primera vez desde 2001 que estuvo “más cerrado” que Brasil.",
Verdadero,La cifra mencionada ,"La cifra mencionada por la ex presidenta coincide con el dato oficial de 2015, pero no es una estadística confiable dado que se calculó durante la intervención del INDEC y actualmente el instituto oficial la desconoce.",
Falso,El gasto del Estado ,"El gasto del Estado nacional, las provincias y los municipios como porcentaje del Producto Bruto Interno (PBI) del país llega al 47%, el más alto desde 1980, el primer dato oficial publicado. Los expertos señalan que hay que mejorar los servicios y no necesariamente reducir los recursos.",
Verdadero,Los puestos de traba,"Los puestos de trabajo en el sector privado registrado crecieron desde agosto último, ya sea si se toman los trabajadores temporales o no. Sin embargo, la evolución está por debajo del crecimiento de la población y todavía no se recuperaron los puestos perdidos desde diciembre de 2015.",
Verdadero,La tasa aumentó entr,"La tasa aumentó entre 2015 y 2016 pero si se mira el último trienio, indicador que los especialistas aconsejan tomar, las muertes de bebés en la Ciudad en el período 2014-2016 fueron menos que nunca antes.",
Falso,El último dato dispo,"El último dato disponible muestra que el empleo público en la administración nacional disminuyó en 1.436 puestos de trabajo en 2016, una baja de 0,2% respecto a los 742 mil con los que contaba en diciembre de 2015.",
Falso,El Gobierno nacional,"El Gobierno nacional envió más transferencias totales pero menos fondos discrecionales en 2016 a la provincia patagónica que al territorio gobernado por Gerardo Morales (UCR). Sin embargo, Santa Cruz fue la provincia más beneficiada durante el kirchnerismo y tiene mejores índices socioeconómicos que Jujuy.",
Falso,Las cifras oficiales,"Las cifras oficiales confirman que la deuda medida como porcentaje de los ingresos y del producto bruto geográfico de la provincia cayó en la proporción señalada por el ex gobernador. Al mismo tiempo, hubo una baja en la inversión en obras públicas durante su gestión.",
Verdadero,Los ingresos de un m,"Los ingresos de un maestro son menores a los casi $14 mil de la canasta total que define a un hogar como pobre, pero esta cifra es para una familia tipo y no para cada integrante. El salario docente está por encima de la línea de pobreza por persona.",
Falso,Los puestos de traba,"Los puestos de trabajo en blanco crecieron en ocho de los últimos nueve meses con datos. La evolución, sin embargo, está por debajo del crecimiento de la población.",
Verdadero,Los datos concuerdan,Los datos concuerdan con lo dicho por el titular de la Director Nacional de Vialidad. Especialistas coinciden en la importancia del rol del Estado en el sector y destacan que este récord se debe principalmente a que se concretaron muchas licitaciones viales.,
Verdadero,Los datos oficiales ,"Los datos oficiales muestran que hubo años donde los fondos ejecutados, en pesos ajustados por inflación, en este tipo de inversiones fueron mayores al período señalado por el Presidente. Tampoco se llega al nivel más alto si se mira la ejecución en obra pública medida en porcentaje.",
Falso,El sinceramiento fis,"El sinceramiento fiscal que lanzó la gestión de Mauricio Macri llegó casi a los US$ 117 mil millones, muy por encima de las dos medidas análogas que había impulsado la gestión de Cristina Fernández de Kirchner.",
Verdadero,La cantidad de alumn,"La cantidad de alumnos estatales creció en número tanto en la Ciudad como en la mayoría de las provincias. A su vez, la educación privada tuvo un mayor incremento, por lo que el peso de la escuela pública cayó.",
